lng,lat,CAGRL5Y,pop
-42.8246,-22.9354,30.9,161207
-43.2312,-19.6239,15.2,120060
-49.9037,-6.06781,14.5,208273
-43.1034,-22.8832,14.2,513584
-45.1938,-22.8075,10.1,121798
-49.1327,-5.38075,9.2%,279349
-46.8579,-23.6437,9.0%,273726
-40.3074,-20.121,7.0%,517510
-42.5476,-19.4703,6.8%,263410
-45.9658,-23.2983,6.6%,233662
-52.1071,-32.0349,6.6%,211005
-48.6705,-26.9101,6.6%,219536
-47.2101,-23.0816,6.5%,251627
-47.1488,-22.7542,6.4%,109424
-53.8149,-29.6868,6.3%,282123
-46.4613,-23.6677,6.2%,472912
-54.5827,-25.5427,6.0%,258532
-46.3112,-23.5448,5.9%,297637
-51.1498,-29.7545,5.7%,236835
-47.397,-22.566,5.4%,306114
-43.3049,-22.7858,5.2%,919596
-50.9869,-29.9413,5.1%,281519
-45.8841,-23.1896,5.0%,721944
-45.9389,-22.2266,5.0%,150737
-47.9297,-15.7795,5.0%,3015268
-47.6476,-22.7338,4.9%,404142
-43.3398,-21.7595,4.9%,568873
-50.1668,-25.0916,4.8%,351736
-52.3371,-31.7649,4.8%,342405
-40.8442,-14.8615,4.7%,338480
-45.5593,-23.0104,4.7%,314924
-51.1857,-29.9128,4.7%,346616
-47.2728,-22.8204,4.7%,282441
-44.4509,-22.4705,4.6%,131341
-48.3558,-10.24,4.6%,299127
-48.2749,-18.9141,4.5%,691305
-44.3196,-23.0011,4.5%,203785
-56.1322,-15.6458,4.5%,284971
-38.3263,-12.6996,4.4%,299132
-47.2931,-23.1996,4.4%,118663
-48.3743,-1.36391,4.4%,530598
-47.2143,-22.8529,4.3%,230851
-47.5546,-22.3984,4.3%,206424
-45.4613,-22.9246,4.3%,168328
-52.6152,-27.1004,4.2%,220367
-51.1792,-29.1629,4.2%,510906
-51.2065,-30.0318,4.2%,1483771
-46.7916,-23.5324,4.2%,698418
-48.5225,-25.5161,4.1%,154936
-40.4165,-20.2632,4.1%,381285
-51.7007,-20.7849,4.1%,121388
-46.5646,-23.6914,4.1%,838936
-38.9663,-12.2664,4.1%,614872
-47.8099,-21.1699,4.1%,703293
-63.8999,-8.76077,4.0%,529544
