lng,lat,CAGRL5Y,pop,pop_scale
-42.8246,-22.9354,30.9,161207,1612
-43.2312,-19.6239,15.2,120060,1200
-49.9037,-6.06781,14.5,208273,2082
-43.1034,-22.8832,14.2,513584,5135
-45.1938,-22.8075,10.1,121798,1217
-49.1327,-5.38075,9.2,279349,2793
-46.8579,-23.6437,9.0,273726,2737
-40.3074,-20.121,7.0,517510,5175
-42.5476,-19.4703,6.8,263410,2634
-45.9658,-23.2983,6.6,233662,2336
-52.1071,-32.0349,6.6,211005,2110
-48.6705,-26.9101,6.6,219536,2195
-47.2101,-23.0816,6.5,251627,2516
-47.1488,-22.7542,6.4,109424,1094
-53.8149,-29.6868,6.3,282123,2821
-46.4613,-23.6677,6.2,472912,4729
-54.5827,-25.5427,6.0,258532,2585
-46.3112,-23.5448,5.9,297637,2976
-51.1498,-29.7545,5.7,236835,2368
-47.397,-22.566,5.4,306114,3061
-43.3049,-22.7858,5.2,919596,9195
-50.9869,-29.9413,5.1,281519,2815
-45.8841,-23.1896,5.0,721944,7219
-45.9389,-22.2266,5.0,150737,1507
-47.9297,-15.7795,5.0,3015268,30152
-47.6476,-22.7338,4.9,404142,4041
-43.3398,-21.7595,4.9,568873,5688
-50.1668,-25.0916,4.8,351736,3517
-52.3371,-31.7649,4.8,342405,3424
-40.8442,-14.8615,4.7,338480,3384
-45.5593,-23.0104,4.7,314924,3149
-51.1857,-29.9128,4.7,346616,3466
-47.2728,-22.8204,4.7,282441,2824
-44.4509,-22.4705,4.6,131341,1313
-48.3558,-10.24,4.6,299127,2991
-48.2749,-18.9141,4.5,691305,6913
-44.3196,-23.0011,4.5,203785,2037
-56.1322,-15.6458,4.5,284971,2849
-38.3263,-12.6996,4.4,299132,2991
-47.2931,-23.1996,4.4,118663,1186
-48.3743,-1.36391,4.4,530598,5305
-47.2143,-22.8529,4.3,230851,2308
-47.5546,-22.3984,4.3,206424,2064
-45.4613,-22.9246,4.3,168328,1683
-52.6152,-27.1004,4.2,220367,2203
-51.1792,-29.1629,4.2,510906,5109
-51.2065,-30.0318,4.2,1483771,14837
-46.7916,-23.5324,4.2,698418,6984
-48.5225,-25.5161,4.1,154936,1549
-40.4165,-20.2632,4.1,381285,3812
-51.7007,-20.7849,4.1,121388,1213
-46.5646,-23.6914,4.1,838936,8389
-38.9663,-12.2664,4.1,614872,6148
-47.8099,-21.1699,4.1,703293,7032
-63.8999,-8.76077,4.0,529544,5295
